,Ticker,Price
2023-09-01,AAPL,189.4600067138672
2023-09-05,AAPL,189.6999969482422
2023-09-06,AAPL,182.91000366210938
2023-09-07,AAPL,177.55999755859375
2023-09-08,AAPL,178.17999267578125
2023-09-11,AAPL,179.36000061035156
2023-09-12,AAPL,176.3000030517578
2023-09-13,AAPL,174.2100067138672
2023-09-14,AAPL,175.74000549316406
2023-09-15,AAPL,175.00999450683594
2023-09-18,AAPL,177.97000122070312
2023-09-19,AAPL,179.07000732421875
2023-09-20,AAPL,175.49000549316406
2023-09-21,AAPL,173.92999267578125
2023-09-22,AAPL,174.7899932861328
2023-09-25,AAPL,176.0800018310547
2023-09-26,AAPL,171.9600067138672
2023-09-27,AAPL,170.42999267578125
2023-09-28,AAPL,170.69000244140625
2023-09-29,AAPL,171.2100067138672
2023-10-02,AAPL,173.75
2023-09-01,GOOGL,135.66000366210938
2023-09-05,GOOGL,135.77000427246094
2023-09-06,GOOGL,134.4600067138672
2023-09-07,GOOGL,135.25999450683594
2023-09-08,GOOGL,136.3800048828125
2023-09-11,GOOGL,136.9199981689453
2023-09-12,GOOGL,135.33999633789062
2023-09-13,GOOGL,136.7100067138672
2023-09-14,GOOGL,138.10000610351562
2023-09-15,GOOGL,137.39999389648438
2023-09-18,GOOGL,138.2100067138672
2023-09-19,GOOGL,138.0399932861328
2023-09-20,GOOGL,133.74000549316406
2023-09-21,GOOGL,130.44000244140625
2023-09-22,GOOGL,130.25
2023-09-25,GOOGL,131.11000061035156
2023-09-26,GOOGL,128.57000732421875
2023-09-27,GOOGL,130.5399932861328
2023-09-28,GOOGL,132.30999755859375
2023-09-29,GOOGL,130.86000061035156
2023-10-02,GOOGL,134.1699981689453
2023-09-01,MSFT,328.6600036621094
2023-09-05,MSFT,333.54998779296875
2023-09-06,MSFT,332.8800048828125
2023-09-07,MSFT,329.9100036621094
2023-09-08,MSFT,334.2699890136719
2023-09-11,MSFT,337.94000244140625
2023-09-12,MSFT,331.7699890136719
2023-09-13,MSFT,336.05999755859375
2023-09-14,MSFT,338.70001220703125
2023-09-15,MSFT,330.2200012207031
2023-09-18,MSFT,329.05999755859375
2023-09-19,MSFT,328.6499938964844
2023-09-20,MSFT,320.7699890136719
2023-09-21,MSFT,319.5299987792969
2023-09-22,MSFT,317.010009765625
2023-09-25,MSFT,317.5400085449219
2023-09-26,MSFT,312.1400146484375
2023-09-27,MSFT,312.7900085449219
2023-09-28,MSFT,313.6400146484375
2023-09-29,MSFT,315.75
2023-10-02,MSFT,321.79998779296875
2023-09-01,TSLA,245.00999450683594
2023-09-05,TSLA,256.489990234375
2023-09-06,TSLA,251.9199981689453
2023-09-07,TSLA,251.49000549316406
2023-09-08,TSLA,248.5
2023-09-11,TSLA,273.5799865722656
2023-09-12,TSLA,267.4800109863281
2023-09-13,TSLA,271.29998779296875
2023-09-14,TSLA,276.0400085449219
2023-09-15,TSLA,274.3900146484375
2023-09-18,TSLA,265.2799987792969
2023-09-19,TSLA,266.5
2023-09-20,TSLA,262.5899963378906
2023-09-21,TSLA,255.6999969482422
2023-09-22,TSLA,244.8800048828125
2023-09-25,TSLA,246.99000549316406
2023-09-26,TSLA,244.1199951171875
2023-09-27,TSLA,240.5
2023-09-28,TSLA,246.3800048828125
2023-09-29,TSLA,250.22000122070312
2023-10-02,TSLA,251.60000610351562
